points
7,54,70
6,55,69
2,60,79
8,53,70
2,61,80
2,74,1
1,60,78
1,2,69
2,52,63
9,53,70
7,53,71
8,52,69
1,59,79
1,59,76
2,52,67
6,53,70
8,51,68
9,53,67
2,59,76
1,65,1
9,53,66
9,52,67
2,60,75
8,54,66
1,60,75
1,72,1
1,58,74
7,51,66
7,53,64
9,53,65
1,52,63
2,75,2
2,53,62
9,52,65
8,52,65
1,59,75
6,55,64
1,52,64
1,50,64
5,55,63
4,55,63
3,53,63
1,55,65
2,72,2
1,57,73
2,52,65
2,53,61
2,54,61
3,52,63
2,52,62
3,54,59
2,52,61
1,56,74
1,53,61
2,56,72
2,2,68
1,54,64
2,56,63
2,54,64
1,55,72
2,52,60
2,55,72
2,56,73
1,53,64
2,54,60
1,51,60
1,55,70
4,1,69
1,50,60
1,55,71
4,1,67
1,50,59
2,52,59
1,54,71
1,49,60
1,49,59
1,52,72
1,48,60
2,49,57
1,51,69
2,49,59
1,52,73
1,52,62
1,47,58
1,49,61
1,52,71
1,48,59
1,51,71
2,47,59
2,53,71
5,2,67
1,53,63
1,49,58
1,48,61
3,50,71
1,53,66
3,48,59
4,2,67
2,47,60
2,48,58
3,47,59
2,47,58
3,49,60
3,47,60
3,49,59
3,50,59
3,55,71
4,49,60
4,48,59
3,3,67
2,54,62
4,47,57
3,46,60
2,53,70
4,48,58
1,51,70
2,45,59
3,45,59
1,64,1
2,3,65
1,51,62
1,44,59
2,44,59
4,46,60
3,43,58
1,3,65
1,42,58
1,44,57
2,2,64
2,51,61
2,44,58
2,50,70
2,51,70
3,51,61
1,44,60
4,53,70
2,1,63
1,51,61
2,53,69
4,53,69
5,52,68
2,45,57
1,42,56
1,40,55
2,51,69
1,53,67
1,54,69
2,53,63
2,42,56
1,51,68
2,3,62
1,52,61
1,41,55
1,41,56
2,49,67
1,42,55
2,48,67
1,52,68
